INSTNM,STABBR,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10,MD_EARN_WNE_1YR,MD_EARN_WNE_5YR,FTFTPCTPELL,FTFTPCTFLOAN,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CONTROL,CONTROL_PEPS,GRAD_DEBT_MDN10YR_SUPP
Florida Atlantic University,FL,0,0,0,0,0,1,0,23074,20118,NA,4879,17324,12500,12000,12618,12500,48300,56746,41482,56588,0.3385,0.2982,12536,6174,7644,1,Public,182.7302853
Florida State College at Jacksonville,FL,0,0,0,0,0,0,0,16775,8642,NA,2878,9992,9500,7768,6500,8750,35800,42244,44004,49819,0.4536,0.1809,8496,1815,1450,1,Public,143.7797708
Flagler College,FL,0,0,0,0,0,0,0,2591,38585,NA,23760,23760,16681,14500,15000,15000,42200,49483,36632,47403,0.2749,0.6267,13590,3900,3900,2,Private Nonprofit,257.0903584
Florida College,FL,0,0,0,0,0,0,0,550,32090,NA,18060,18060,8250,9000,12000,10000,42700,43445,30927,45937,0.2448,0.526,10200,3200,2200,2,Private Nonprofit,127.2199712
Concorde Career Institute-Jacksonville,FL,0,0,0,0,0,0,0,598,NA,31051,NA,NA,9500,9500,11899,9500,24400,34098,31074,35468,0.85,0.7727,NA,NA,NA,3,Proprietary,100.7158105
Concorde Career Institute-Miramar,FL,0,0,0,0,0,0,0,317,NA,27775,NA,NA,9500,9751,12531,9500,24100,35442,27300,35405,0.8134,0.7129,NA,NA,NA,3,Proprietary,105.3063311
Concorde Career Institute-Tampa,FL,0,0,0,0,0,0,0,473,NA,26930,NA,NA,9500,9500,5917,9500,25100,36288,28771,36212,0.8865,0.773,NA,NA,NA,3,Proprietary,100.7158105
AdventHealth University,FL,0,0,0,0,0,1,0,917,35258,NA,20340,20340,19668,16750,16540,18000,58200,72282,68439,75791,0.5098,0.3725,11028,7515,7515,2,Private Nonprofit,260.6949243
Florida Institute of Technology,FL,0,0,0,0,0,0,0,3114,57630,NA,43670,43670,12125,17002,16250,14049,61200,43137,69606,80275,0.2287,0.5093,12546,3600,4620,2,Private Nonprofit,286.2449352
Florida International University,FL,0,0,0,0,0,1,0,39277,19666,NA,6565,18963,14500,13750,15000,14246,52000,60249,40919,59979,0.4843,0.8552,11600,5366,8760,1,Public,174.9274604
The College of the Florida Keys,FL,0,0,0,0,0,0,0,897,20982,NA,3276,13162,9352,7750,6500,8250,33400,42508,42669,48819,0.3652,0.1391,13946,2453,4802,1,Public,100.7158105
Florida Memorial University,FL,1,0,0,0,0,0,0,1098,31302,NA,16836,16836,18500,12625,17250,16475,29600,36624,30042,46228,0.8222,0.6095,8160,4400,6000,2,Private Nonprofit,318.7178328
Florida Career College-Miami,FL,0,0,0,0,0,0,0,332,NA,38757,NA,NA,9365,9365,9155,9365,28300,28928,23397,30651,0.9708,0.95,NA,NA,NA,3,Proprietary,100.7158105
Florida School of Massage,FL,0,0,0,0,0,0,0,55,NA,23691,NA,NA,7073,PS,PS,7073,PS,26752,18757,19076,0.3182,0.3636,NA,NA,NA,3,Proprietary,74.98557135
Florida Southern College,FL,0,0,0,0,0,0,0,2702,55055,NA,40500,40500,19000,19500,19500,19500,44400,55294,40861,55528,0.327,0.6098,12400,3050,3050,2,Private Nonprofit,265.0416066
Florida State University,FL,0,0,0,0,0,0,0,32691,23308,NA,5656,18786,15233,15339,17061,16100,53900,61675,40895,61121,0.2458,0.2193,11592,5532,5532,1,Public,190.8299568
University of Florida,FL,0,0,0,0,0,0,0,33673,21359,NA,6381,28659,13000,13397,15000,14000,65700,71588,48898,72379,0.2024,0.091,10950,3670,3670,1,Public,159.024964
Fort Pierce Beauty Academy,FL,0,0,0,0,0,0,0,31,NA,22540,NA,NA,5500,PS,PS,5500,20600,23091,22201,21013,0.8824,0.7353,NA,NA,NA,3,Proprietary,83.93337599
Full Sail University,FL,0,0,0,0,0,0,0,25526,37873,NA,26307,26307,11000,16379,18874,14038,46000,38219,26076,39233,0.5746,0.6705,NA,NA,2500,3,Proprietary,286.2449352
George Stone Technical College,FL,0,0,0,0,0,0,0,604,NA,11954,NA,NA,PS,PS,PS,PS,26700,35234,38058,40091,0.2434,0,NA,NA,NA,1,Public,PS
George T Baker Aviation Technical College,FL,0,0,0,0,0,0,0,893,NA,8004,NA,NA,PS,PS,PS,PS,46000,52312,NA,56760,0.8074,0,NA,NA,NA,1,Public,PS
Gulf Coast State College,FL,0,0,0,0,0,0,0,3466,12065,NA,2370,8635,6040,5286,5400,5500,34000,38359,44034,49040,0.4286,0.0408,NA,NA,4408,1,Public,75.7700945
Key College,FL,0,0,0,0,0,0,0,20,15306,NA,9285,9285,PS,PS,PS,PS,26300,42267,NA,NA,0.3333,0.6667,NA,NA,3321,3,Proprietary,PS
Hillsborough Community College,FL,0,0,0,0,0,1,0,19474,9940,NA,2506,9111,6926,5500,5500,6000,36800,40782,39071,49446,0.5398,0.5733,9662,4480,4480,1,Public,103.4934466
Hobe Sound Bible College,FL,0,0,0,0,0,0,0,165,17228,NA,7960,7960,PS,PS,PS,PS,PS,39863,NA,26196,0.5789,0.2105,6980,2700,600,2,Private Nonprofit,PS
Hollywood Institute of Beauty Careers,FL,0,0,0,0,0,0,0,299,NA,18207,NA,NA,6105,6128,4833,6105,NA,21386,15818,21178,0.5677,0.5419,NA,NA,NA,3,Proprietary,65.71971678
Cortiva Institute,FL,0,0,0,0,0,0,0,158,NA,21453,NA,NA,7521,PS,PS,7485,29700,29204,23610,29221,0.6857,0.6857,NA,NA,NA,3,Proprietary,79.73511694
Indian River State College,FL,0,0,0,0,0,1,0,11481,11316,NA,2764,10201,6720,5245,4500,5500,33800,38315,36684,42522,0.5019,0.0447,NA,NA,5270,1,Public,85.0571524
International Academy,FL,0,0,0,0,0,0,0,396,NA,24175,NA,NA,7917,PS,PS,7917,22400,19824,18266,20267,0.6842,0.6316,NA,NA,NA,3,Proprietary,83.93337599
AI Miami International University of Art and Design,FL,0,0,0,0,0,0,0,866,39876,NA,20794,20794,13000,14389,12000,13000,34800,33415,25582,36187,0.5098,0.5882,NA,NA,12329,3,Private Nonprofit,322.0997637
Jacksonville University,FL,0,0,0,0,0,0,0,2541,58927,NA,43670,43670,12500,12750,13450,12803,57100,68010,65551,78212,0.401,0.6006,15986,2626,3646,2,Private Nonprofit,233.2366138
Keiser University-Ft Lauderdale,FL,0,0,0,0,0,1,0,16649,43353,NA,23248,23248,13506,12799,12000,13000,35100,39696,41151,46468,0.5568,0.5874,15212,10239,9800,2,Private Nonprofit,276.9684789
La Belle Beauty School,FL,0,0,0,0,0,0,0,238,NA,20244,NA,NA,PS,PS,PS,7056,16900,16879,12409,14680,0.2632,0.2632,NA,NA,NA,3,Proprietary,82.76719292
Florida Gateway College,FL,0,0,0,0,0,0,0,2047,9408,NA,3100,11747,5500,5694,5500,5500,32500,37894,42263,48251,0.5789,0.1333,5400,1996,1996,1,Public,74.12683654
Lake Technical College,FL,0,0,0,0,0,0,0,668,NA,10139,NA,NA,PS,PS,PS,PS,31700,32793,33373,33149,0.4585,0,NA,NA,NA,1,Public,PS
Lake-Sumter State College,FL,0,0,0,0,0,1,0,3188,11833,NA,3292,13276,4500,4000,5475,4500,34900,39876,34175,44107,0.4183,0.1178,NA,NA,3202,1,Public,71.56123379
Fort Myers Technical College,FL,0,0,0,0,0,0,0,562,NA,15810,NA,NA,PS,PS,PS,PS,34000,40082,35319,41842,0.2943,0,NA,NA,NA,1,Public,PS
Lively Technical College,FL,0,0,0,0,0,0,0,854,NA,12509,NA,NA,PS,PS,PS,PS,27400,30413,26479,33296,0.2912,0,NA,NA,NA,1,Public,PS
Lindsey Hopkins Technical College,FL,0,0,0,0,0,0,0,476,NA,10106,NA,NA,PS,PS,PS,PS,32300,34107,35105,33404,0.3634,0,NA,NA,NA,1,Public,PS
Loraines Academy & Spa,FL,0,0,0,0,0,0,0,103,NA,14187,NA,NA,5833,PS,PS,5833,20700,18342,17821,24811,0.537,0.5556,NA,NA,NA,3,Proprietary,67.14033979
Luther Rice College & Seminary,GA,0,0,0,0,0,0,0,212,NA,NA,9808,9808,17435,17919,11334,16094,45400,47003,47925,56823,NA,NA,NA,NA,1216,2,Private Nonprofit,362.0786397
State College of Florida-Manatee-Sarasota,FL,0,0,0,0,0,0,0,7251,18651,NA,3074,11595,6750,5500,5500,5720,34900,40318,44016,46001,0.4767,0.085,NA,NA,8681,1,Public,95.41497839
Manatee Technical College,FL,0,0,0,0,0,0,0,1054,NA,11297,NA,NA,PS,PS,PS,PS,32000,38129,34546,38490,0.3341,0,NA,NA,NA,1,Public,PS
Traviss Technical College,FL,0,0,0,0,0,0,0,322,9251,NA,3251,11118,PS,PS,PS,PS,31800,39813,28814,32927,0.4787,0,NA,NA,1300,1,Public,PS
Merryfield Academy,FL,0,0,0,0,0,0,0,63,NA,16853,NA,NA,6333,PS,PS,6333,NA,NA,25162,23888,0.8608,0.8354,NA,NA,NA,3,Proprietary,67.14033979
Trinity International University-Florida,FL,0,0,0,0,0,1,0,66,NA,NA,14160,14160,19554,19343,19375,19500,45400,46989,40161,50600,NA,NA,NA,NA,7276,2,Private Nonprofit,276.5126074
Miami Lakes Educational Center and Technical College,FL,0,0,0,0,0,0,0,850,NA,15862,NA,NA,PS,PS,PS,PS,34800,35014,24278,42448,0.1395,0,NA,NA,NA,1,Public,PS
