CountryID,Country Name,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
146,Sierra Leone,Sub-Saharan Africa,150,34,51.7,42.3,45.7,30.5,86.7,85.9,39.7,49.6,30.1,65.1,64.6,60,20,12.7,15.0,30.0,14.4,21.7,7.8,$13,5.1,-0.4,"$1,790",4.4,14.8,368,60.5
147,Singapore,Asia-Pacific,1,1,89.7,97.5,90.8,93.2,90.5,94.1,80.0,93.8,91.5,85.4,95.0,85,80,0.0,22.0,17.0,13.1,14.0,5.7,$594,0.7,2.9,"$101,376",4.1,0.6,"92,081",111.8
148,Slovakia,Europe,61,33,66.3,71.5,44.4,48.8,78.4,47.0,93.4,55.6,52.2,74.8,84.0,75,70,3.0,25.0,21.0,33.1,42.0,5.5,$198,2.3,3.3,"$34,178",5.6,2.8,"2,449",48.2
149,Slovenia,Europe,48,28,68.3,77.3,56.3,68.2,58.2,42.5,91.1,78.8,61.5,81.9,84.0,70,50,3.0,50.0,19.0,36.4,43.8,2.1,$79,2.4,3.3,"$40,657",4.2,1.6,910,66.8
150,Solomon Islands,Asia-Pacific,122,27,56.5,46.1,55.9,35.2,66.3,55.3,92.2,58.9,73.8,80.6,68.6,15,30,8.2,40.0,30.0,29.5,38.6,0.7,$1,1.2,2.9,"$2,466",0.6,2.2,30,12.2
151,South Africa,Sub-Saharan Africa,99,9,59.7,59.6,57.1,50.6,63.9,65.9,53.4,61.5,59.4,76.8,72.6,45,50,6.2,45.0,28.0,28.4,33.7,58.6,$805,0.2,0.8,"$12,999",28.2,4.1,"4,624",62.2
152,Spain,Europe,39,24,69.9,76.4,65.4,70.3,61.7,48.1,69.8,66.3,57.9,83.5,84.0,85,70,3.0,45.0,25.0,34.4,41.6,47.1,"$1,924",2.0,2.8,"$42,214",14.0,0.7,"12,406",95.5
153,Sri Lanka,Asia-Pacific,131,28,55.7,45.4,46.8,39.5,85.0,88.4,30.1,75.2,59.1,71.6,47.0,40,40,19.0,24.0,28.0,11.9,19.6,21.8,$304,2.3,3.7,"$13,620",4.2,4.3,758,86.8
154,Sudan,Sub-Saharan Africa,175,47,39.1,32.6,19.7,20.2,84.9,91.9,0.0,50.8,60.4,39.2,45.0,5,20,17.5,15.0,35.0,8.0,16.4,42.8,$175,-2.5,0.3,"$4,123",16.5,51.0,825,200.3
155,Suriname,Americas,169,29,46.4,45.5,15.4,38.5,70.0,68.2,7.8,45.8,61.9,73.7,60.2,40,30,12.4,38.0,36.0,16.1,32.6,0.6,$9,2.3,-0.5,"$17,005",7.3,4.4,7,78.1
157,Sweden,Europe,21,12,74.7,86.6,79.1,92.5,43.6,29.5,97.6,83.2,53.9,81.5,84.0,85,80,3.0,57.0,21.4,43.9,48.5,10.3,$565,1.2,2.5,"$55,815",6.5,1.7,"20,568",34.8
158,Switzerland,Europe,4,1,81.9,85.4,82.2,87.9,70.4,67.6,96.9,73.6,72.5,85.4,86.0,85,90,2.0,11.5,8.5,27.9,32.8,8.6,$566,0.9,1.7,"$70,989",4.6,0.4,"-21,740",39.3
160,Taiwan,Asia-Pacific,6,4,78.6,87.3,72.9,74.5,79.2,91.0,93.7,93.4,60.4,84.3,86.0,60,60,2.0,40.0,20.0,8.9,17.3,23.6,"$1,340",2.7,2.5,"$55,527",3.7,0.5,"8,213",28.2
161,Tajikistan,Asia-Pacific,134,29,55.2,41.6,48.8,35.2,91.9,68.6,75.1,62.3,46.2,68.5,69.6,25,30,7.7,13.0,15.0,20.5,32.3,9.3,$34,7.5,7.0,"$3,520",11.0,7.8,213,44.6
162,Tanzania,Sub-Saharan Africa,93,8,61.3,41.3,40.2,34.5,80.7,91.8,90.8,45.7,67.7,72.9,64.4,55,50,10.3,30.0,30.0,11.5,16.6,58.0,$194,6.3,6.6,"$2,771",2.0,3.4,"1,112",38.1
163,Thailand,Asia-Pacific,42,9,69.7,60.0,48.1,45.1,81.5,86.0,96.4,85.3,64.3,74.4,80.0,55,60,5.0,35.0,20.0,14.9,21.6,69.6,"$1,378",2.4,3.4,"$19,228",0.8,0.7,"4,146",41.1
164,Timor-Leste,Asia-Pacific,170,38,44.7,37.2,15.1,37.4,91.7,0.0,20.0,62.2,53.4,79.7,75.0,45,20,2.5,10.0,10.0,25.0,86.9,1.3,$2,3.1,1.0,"$3,253",4.5,0.1,75,3.8
165,Togo,Sub-Saharan Africa,113,18,57.5,44.5,28.2,32.2,68.0,84.8,89.9,60.6,47.1,79.7,65.4,60,30,12.3,45.0,27.0,21.0,22.5,8.1,$15,5.3,5.2,"$1,662",2.0,0.7,133,71.0
